@Caption,Ｆ：世帯主の年齢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Creator,総務省「令和６年通信利用動向調査」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Date,令和6年8月末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Language,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,集計世帯数,比重調整後集計世帯数,２０～２９歳,３０～３９歳,４０～４９歳,５０～５９歳,６０～６９歳,６０～６４歳,６５～６９歳,７０～７９歳,７０～７４歳,７５～７９歳,６５歳以上,７５歳以上,８０歳以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,世帯,世帯,％,％,％,％,％,％,％,％,％,％,％,％,％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Baseval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Datatype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Note,※子どもは19歳以下、高齢者は65歳以上の者(以下の統計表において同じ）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯全体,[ 全　体 ],15304,15304,8.6,11.9,16.7,16.7,16.5,7.8,8.8,18,10.1,7.9,38.3,19.4,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,２０～２９歳,474,1314,100,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,３０～３９歳,1237,1826,- ,100,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,４０～４９歳,2045,2554,- ,- ,100,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
世帯主年齢,５０～５９歳,2948,2559,- ,- ,- ,100,- ,- ,- ,- ,- ,- ,- ,- ,- ,
世帯主年齢,６０～６９歳,3496,2531,- ,- ,- ,- ,100,46.9,53.1,- ,- ,- ,53.1,- ,- ,
世帯主年齢,　６０～６４歳,1688,1187,- ,- ,- ,- ,100,100,- ,- ,- ,- ,- ,- ,- ,
世帯主年齢,　６５～６９歳,1808,1344,- ,- ,- ,- ,100,- ,100,- ,- ,- ,100,- ,- ,
世帯主年齢,７０～７９歳,3384,2758,- ,- ,- ,- ,- ,- ,- ,100,56.1,43.9,100,43.9,- ,
世帯主年齢,　７０～７４歳,1799,1546,- ,- ,- ,- ,- ,- ,- ,100,100,- ,100,- ,- ,
世帯主年齢,　７５～７９歳,1585,1211,- ,- ,- ,- ,- ,- ,- ,100,- ,100,100,100,- ,
世帯主年齢,６５歳以上,6912,5865,- ,- ,- ,- ,22.9,- ,22.9,47,26.4,20.7,100,50.7,30.1,
世帯主年齢,７５歳以上,3305,2975,- ,- ,- ,- ,- ,- ,- ,40.7,- ,40.7,100,100,59.3,
世帯主年齢,８０歳以上,1720,1763,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,100,100,100,
世帯主性別,男性,12383,12188,6.9,11.9,18.1,17.4,17.3,8.1,9.1,18.7,10.8,7.9,37.6,17.7,9.8,
世帯主性別,女性,2921,3116,15.3,12,11.2,14.1,13.7,6.2,7.4,15.3,7.5,7.9,41.1,26.2,18.3,
世帯人員,単身,3229,3793,21.6,11.9,11.3,13.4,14.1,6.9,7.2,15,8.2,6.7,35,19.6,12.8,
世帯人員,２人家族,5600,5140,5.1,6.5,6.2,13.3,21.7,9.4,12.3,29.7,15.8,13.9,59.5,31.4,17.5,
世帯人員,３人家族,3143,2958,4.8,12.5,16.4,21.7,20.2,9.8,10.3,16,10.1,5.8,34.7,14.2,8.3,
世帯人員,４人家族,2316,2452,2.6,20,37.2,22.8,8.4,4.6,3.9,5,3.2,1.9,12.9,5.8,4,
世帯人員,５人家族,735,742,3.4,19.9,45.9,18.8,6.4,3.9,2.5,3.6,2.1,1.5,8.1,3.4,2,
世帯人員,６人家族,191,145,- ,19.6,33.4,12.2,11.3,4.5,6.9,14.6,8.7,5.9,30.4,14.9,9,
世帯人員,７人以上家族,90,75,1.5,8.1,27.2,17.2,15.3,5.4,9.9,25.6,18,7.5,40.5,12.6,5.1,
世帯類型,単独世帯（非高齢者）,1702,2464,33.2,18.3,17.3,20.6,10.6,10.6,- ,- ,- ,- ,- ,- ,- ,
世帯類型,高齢世帯（高齢者のみ）,4364,3771,- ,- ,- ,- ,16.9,- ,16.9,51.1,27.9,23.2,100,55.2,32,
世帯類型,大人２人（非高齢者のみ）,1673,1720,14.4,15,13.7,33.3,23.6,23.6,- ,- ,- ,- ,- ,- ,- ,
世帯類型,大人２人（高齢者を含む）,1061,901,0,1.1,4.2,7.9,41.2,8.5,32.8,23.7,13,10.7,78.2,32.5,21.7,
世帯類型,大人が２人以下＋子ども,2725,3384,6.4,30.6,46.5,14.7,1.2,0.9,0.2,0.5,0.3,0.2,0.9,0.4,0.2,
世帯類型,大人が３人以上＋子ども,772,655,0.2,6.2,26.1,40.9,11.3,5.5,5.8,11.4,7.2,4.2,21,8,3.9,
世帯類型,大人が３人以上のみ,3007,2409,1.2,1.3,4.5,26.6,30.7,15.6,15.1,21.9,13.4,8.5,50.7,22.2,13.7,
世帯年収,200万円未満,2453,2135,7.3,4.4,5.2,10.5,19.6,8.6,11.1,28.7,14.2,14.5,64.1,38.7,24.3,
世帯年収,200～400万円未満,4339,4118,11.6,7.1,8.5,8.6,18.7,7.3,11.4,26.8,14.7,12.1,57,30.9,18.8,
世帯年収,400～600万円未満,3003,3109,13.1,15.3,17.4,15.6,16.7,8.2,8.6,15,9.3,5.7,30.5,12.7,7,
世帯年収,600～800万円未満,2311,2354,5.8,17.8,24.6,21.8,15.7,7.7,8,9.8,6.4,3.4,22.3,8,4.6,
