@Caption,問１　情報通信機器の保有状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Creator,総務省「令和６年通信利用動向調査」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Date,令和6年8月末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Language,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,集計世帯数,比重調整後集計世帯数,固定電話,ＦＡＸ,テレビ,チューナー付き,チューナーなし,モバイル端末（携帯電話、スマートフォンのうち１種類以上）,携帯電話,スマートフォン,タブレット型端末,パソコン,ウェアラブル端末,インターネットに接続できるゲーム機,パソコン等を経由してコンテンツを同期、再生する携帯型音楽プレイヤー,インターネットに接続できる家電,ラジオ,ワイドＦＭ対応,ワイドＦＭ非対応,無回答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,世帯,世帯,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Baseval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Datatype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Note,（対象：全世帯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯全体,[ 全　体 ],15304,15304,54.9,24.5,91.5,72.8,11.5,97,25.7,90.5,37.7,66.4,11.2,34.1,8.6,15.8,37.7,26.1,13.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,２０～２９歳,474,1314,3.1,0.9,75.1,56.1,12.3,99.1,12.3,97.1,39.1,69.2,17.5,57.4,4.6,17.8,6.3,4.9,2.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,３０～３９歳,1237,1826,8.3,4,86.9,68.5,14,99.2,13.3,97.3,50.2,71.1,20.8,60,10.5,28.8,13.6,7.7,6.7,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,４０～４９歳,2045,2554,35.2,13.1,90.4,73.8,12.5,99.5,19.4,97.9,54.8,76,15.9,59.5,12.7,25.3,26.7,15.5,12.3,0
世帯主年齢,５０～５９歳,2948,2559,67.2,29.2,94.7,77,11.2,99.4,21.5,97.1,44.6,76.5,13.6,38.4,10.8,16.8,36.6,23.3,15.7,0.1
世帯主年齢,６０～６９歳,3496,2531,74.4,34.4,95.6,77.1,10.2,98.2,27.8,93.5,35.9,69.6,7.6,19.1,10.6,12.2,51.7,36.6,18.1,0.1
世帯主年齢,　６０～６４歳,1688,1187,74,34.5,95.5,75.4,11.5,98.9,26.6,94.6,37.5,70,8.8,22,12.3,14.6,48.3,31.5,20.2,0.1
世帯主年齢,　６５～６９歳,1808,1344,74.7,34.2,95.7,78.6,9.1,97.6,28.9,92.6,34.5,69.2,6.5,16.5,9,10.1,54.7,41.1,16.2,0.2
世帯主年齢,７０～７９歳,3384,2758,81.6,39.8,95.1,77.5,8.5,95.7,36,85.1,23.2,57,3.8,10.4,4.5,7.3,57.3,42.5,17.6,0.7
世帯主年齢,　７０～７４歳,1799,1546,82.1,41.2,96,80.1,7.8,96.9,32.9,88.8,26.1,61.6,4.9,11.4,5,7.9,57.5,40.5,20.1,0.2
世帯主年齢,　７５～７９歳,1585,1211,81,38,93.9,74.2,9.3,94.2,40,80.4,19.5,51.2,2.5,9.2,3.8,6.5,57.1,45.1,14.5,1.3
世帯主年齢,６５歳以上,6912,5865,80.4,37.1,94.9,75.1,10.1,93.3,36.9,80,23,55,4,10.3,5.4,7,55.3,41.3,16.9,0.6
世帯主年齢,７５歳以上,3305,2975,82.1,36.2,93.9,70.9,11.8,89.4,42.6,69.8,16.3,45.2,2.5,7,4,5,54.5,41.8,15.5,1.1
世帯主年齢,８０歳以上,1720,1763,82.8,34.9,93.8,68.6,13.5,86.1,44.4,62.5,14.1,41.1,2.5,5.5,4.1,4,52.6,39.5,16.2,0.9
世帯主性別,男性,12383,12188,57.7,26.3,92.6,74.6,11.1,97.7,26.4,92,40.2,70.7,12.2,37,9.3,17.4,39.4,27.3,14.5,0.3
世帯主性別,女性,2921,3116,44.1,17.5,87.3,65.6,13,94.2,22.9,84.9,28,49.7,6.9,22.8,5.8,9.5,30.7,21.4,10.4,0.4
世帯人員,単身,3229,3793,35,12.4,81.1,60.7,11.9,93.2,19.2,83.2,27.2,52,8.9,21.7,6.4,7.7,29.3,19.8,10.8,0.6
世帯人員,２人家族,5600,5140,66.8,31.9,94.5,76.6,10.6,97.1,29.3,87.9,28.9,64,8.4,18.8,5.6,12.6,46.8,33.8,15.9,0.3
世帯人員,３人家族,3143,2958,62.4,29,95.6,76.6,11.8,99,27.5,96,43.5,74.1,12.9,41,12,21.2,39.5,26.7,14.8,0.2
世帯人員,４人家族,2316,2452,51.7,22.2,94.5,76.1,12.2,99,24.4,97.6,56.8,80,16.2,62.7,13.2,26.3,32.1,21.5,12.5,0
世帯人員,５人家族,735,742,49.9,20.5,95.9,80,11.2,99.8,28.7,98.2,56.4,75.6,15.8,73.6,9.8,22.2,28.3,18.9,11.6,0.1
世帯人員,６人家族,191,145,73.1,40.6,95.4,86.8,5.1,98.9,25.5,98.3,66.6,86.2,15.1,61.2,14.3,17.7,35.9,20.9,18.9,- 
世帯人員,７人以上家族,90,75,69.8,33.9,99,74.1,26.3,100,41.2,99.5,74.6,80,20.6,61.1,16,16.9,37.5,28,12.9,- 
世帯類型,単独世帯（非高齢者）,1702,2464,17.9,6.7,76.1,57.7,12,98.5,13.3,94.5,34.5,64.4,12.4,31.8,8.4,10.1,20.3,11.5,10,0.4
世帯類型,高齢世帯（高齢者のみ）,4364,3771,78,35.8,93.9,73.7,10.6,90.9,36.1,73.9,17.2,47.3,2.7,3.7,3.4,5,55.6,42.6,15.8,0.7
世帯類型,大人２人（非高齢者のみ）,1673,1720,43.5,19.9,93.4,77.3,11.7,99.7,15.2,97.5,41.3,74.2,16.5,39.6,8.1,22.9,28.5,17.9,11.9,- 
世帯類型,大人２人（高齢者を含む）,1061,901,75.4,32.3,95.2,72.9,10,97.4,32.6,89.1,27.6,62,5.2,12.2,5.8,10.9,51.4,34.5,20.8,0.4
世帯類型,大人が２人以下＋子ども,2725,3384,29.7,11.8,92.7,75,13,99.4,18.6,98.6,58.6,77.1,18.9,67.3,11.6,29.8,23.7,15.1,9.8,- 
