@Caption,セキュリティ対策の実施状況（世帯単位）（加工）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Creator,総務省「令和６年通信利用動向調査」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Date,令和6年8月末,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Language,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,集計世帯数,比重調整後集計世帯数,対策を行っている,ソフトウェアを最新のものにする,携帯電話会社などが提供するセキュリティサービスへ加入する,ウイルス対策ソフトをインストールする,迷惑メールに対して何らかの対策をする,利用条件などを確認し、信頼できるアプリのみ利用する,端末にパスワードロックなどを設定する,個人情報の入力を控える,提供元不明の無線ＬＡＮには接続しない,情報の正確性をファクトチェック団体やテレビ・新聞による情報で確認,その他,セキュリティ対策を行っていない,無回答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,世帯,世帯,％,％,％,％,％,％,％,％,％,％,％,％,％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Baseval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@@Datatype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Note,（対象：過去１年間に少なくとも１人はインターネットを利用したことのある世帯）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯全体,[ 全　体 ],13204,13557,92,55.7,35.2,42.6,35.1,36.4,54,31.5,37.4,7.9,1.9,4.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,２０～２９歳,461,1271,90.9,58.8,21.9,34.1,30.6,33.4,69.2,24.9,36.7,9.2,1.2,5.6,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,３０～３９歳,1223,1802,94.7,66.6,22.4,35.6,36.6,36.3,71.4,28.1,41,8.7,1.7,4.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯主年齢,４０～４９歳,2008,2512,96.3,67.6,29.9,42.2,38.6,39.7,67.8,29.3,36.8,8.3,2.5,3.1,0.6
世帯主年齢,５０～５９歳,2843,2489,94.8,61.5,39.4,48.8,39.3,37.2,58.7,33,37,7.4,1.3,3.5,1.7
世帯主年齢,６０～６９歳,3155,2298,94.5,50.3,46.8,50.5,38,41.2,47.3,35.6,40,9.4,2.3,3.1,2.4
世帯主年齢,　６０～６４歳,1561,1105,96.7,54.5,47.5,53,42.1,42.5,55.3,39.3,41.4,10.8,2.2,2.4,0.9
世帯主年齢,　６５～６９歳,1594,1194,92.4,46.4,46.2,48.1,34.2,40,40,32.2,38.7,8.1,2.3,3.8,3.7
世帯主年齢,７０～７９歳,2563,2158,86.1,38.8,42.3,41.3,28.4,32,28,34,34.1,5.3,1.8,7.4,6.5
世帯主年齢,　７０～７４歳,1433,1281,88.4,41.9,43.4,44.8,30.6,32,30.2,34.1,33.5,5.3,1.4,6.8,4.8
世帯主年齢,　７５～７９歳,1130,878,82.8,34.4,40.7,36.3,25.1,32.1,24.8,34,35.1,5.3,2.4,8.4,8.8
世帯主年齢,６５歳以上,5108,4378,85.8,40.4,42,42.1,29.8,33.5,31.6,33.4,35.5,6.6,2,6.8,7.4
世帯主年齢,７５歳以上,2081,1904,80,35.8,38.4,36.6,26.4,30.5,27.4,33.7,34.9,6.6,2.3,8.6,11.4
世帯主年齢,８０歳以上,951,1026,77.6,36.9,36.5,36.8,27.5,29.2,29.5,33.4,34.8,7.7,2.1,8.8,13.5
世帯主性別,男性,10947,11009,92.3,57.6,34.9,44.4,35.1,36.4,54.2,31.4,37,8,2,4.6,3.1
世帯主性別,女性,2257,2547,90.5,47.4,36.8,35,35.4,36.5,53.1,32.2,38.9,7.5,1.6,5.3,4.2
世帯人員,単身,2356,3037,90.9,52.8,30,36.6,32.3,33.6,49.6,30.9,37.2,9.1,2.1,5.2,3.9
世帯人員,２人家族,4640,4361,90.2,49.7,39.1,44.6,33.6,35.3,43.7,33,37.4,7.3,1.8,5.2,4.6
世帯人員,３人家族,2957,2803,93.8,60.1,36.8,47.2,38.6,39.7,61.1,31.7,40.8,8.4,2.2,3.4,2.8
世帯人員,４人家族,2251,2404,94.1,62.6,33.7,42.2,37.7,39.4,66.8,31,35.6,7.7,1.2,4.6,1.3
世帯人員,５人家族,729,739,93.4,61.6,33.9,39.7,36.5,34.9,63.2,27.5,31.9,6.8,2.4,5.4,1.2
世帯人員,６人家族,186,143,90.7,62.9,33,44.3,27.6,29.6,57,22.1,29.9,5.1,0.6,6,3.3
世帯人員,７人以上家族,85,71,91.7,60.4,32.4,37.9,29.9,32.8,63.6,42.9,35.7,5.1,6.9,3.2,5.1
世帯類型,単独世帯（非高齢者）,1563,2320,95.2,60.5,28.8,38.5,35.8,36.8,60,30.3,40.7,10.5,2.2,3.9,0.9
世帯類型,高齢世帯（高齢者のみ）,2828,2516,82,32.8,39.2,38.9,23.8,28.2,21,31.4,30.2,5,1.8,8,10
世帯類型,大人２人（非高齢者のみ）,1621,1672,96.3,66.1,35.8,48.8,39.2,37.5,63.7,33.8,42.3,8.8,1.6,2.6,1.2
世帯類型,大人２人（高齢者を含む）,943,809,90.5,48.1,43.1,44.5,41.4,41,43.8,35.5,39.1,10,2.3,6.1,3.4
世帯類型,大人が２人以下＋子ども,2704,3363,94.6,66.6,27.8,40,37.1,37.6,71.8,28.7,35.2,7.1,1.5,4.1,1.3
世帯類型,大人が３人以上＋子ども,753,641,91.3,53.1,35.9,42,33.2,37.4,58.8,28.6,31.8,7.9,2.6,5.9,2.8
世帯類型,大人が３人以上のみ,2792,2235,93.2,55.7,45.2,49.9,39.6,40.8,53.4,35,42.6,8.4,2.1,3.7,3
世帯年収,200万円未満,1512,1405,82.3,37.2,32.5,26.5,25.3,29.8,31.8,30.6,27.5,5.9,3.2,9.5,8.2
世帯年収,200～400万円未満,3534,3390,90.2,45.4,37.2,38.6,32,34.7,44,32.8,36.1,7.1,2,5.5,4.2
世帯年収,400～600万円未満,2832,2974,92.9,56.7,34.5,41.3,36.2,37.3,57.4,32.5,39.7,7.9,1.4,4.5,2.6
世帯年収,600～800万円未満,2256,2300,94.4,60.4,34.3,44.5,37.5,37.4,60.2,29.7,37.9,8.3,1.6,4.1,1.5
